updated_datetime;current_population
2021-11-26 12:34:27.661167;214,571,938
2021-11-27 12:33:11.783813;214,575,829
2021-11-28 12:33:32.036520;214,579,725
2021-11-29 12:35:08.648828;214,583,625
2021-11-30 12:29:01.661518;214,587,503
2021-12-01 12:35:45.824710;214,591,416
2021-12-02 12:35:24.119;214,595,310
2021-12-03 12:34:55.816993;214,599,204
2021-12-04 12:36:12.186373;214,603,102
2021-12-05 15:36:56.559186;214,607,486
2021-12-06 12:36:00.222443;214,610,892
2021-12-07 12:38:05.980799;214,614,793
2021-12-08 12:37:52.999445;214,618,687
2021-12-09 12:36:00.416482;214,622,577
2021-12-10 12:35:27.755575;214,626,470
2021-12-11 12:34:05.166562;214,630,362
2021-12-12 12:34:06.460207;214,634,257
2021-12-13 12:35:51.355766;214,638,156
2021-12-14 12:35:29.783578;214,642,050
2021-12-15 12:35:28.461088;214,645,945
2021-12-16 12:35:53.560036;214,649,842
2021-12-17 12:35:02.517717;214,653,734
2021-12-18 12:34:31.631223;214,657,628
2021-12-19 12:35:13.462246;214,661,525
2021-12-20 12:37:45.836380;214,665,427
2021-12-21 12:36:48.755663;214,669,319
2021-12-22 12:36:43.408635;214,673,214
2021-12-23 12:36:45.134305;214,677,109
2021-12-24 12:36:11.940684;214,681,002
2021-12-25 12:34:52.227245;214,684,894
2021-12-26 12:35:09.197477;214,688,790
2021-12-27 12:40:28.327778;214,692,699
2021-12-28 12:36:19.201812;214,696,583
2021-12-29 12:36:42.462913;214,700,479
2021-12-30 12:36:31.005564;214,704,373
2022-01-01 12:35:30.451504;214,712,161
2022-01-02 12:35:26.004988;214,716,055
2022-01-03 12:36:46.621276;214,719,954
2022-01-04 12:36:33.261935;214,723,848
2022-01-05 12:37:10.155200;214,727,745
2022-01-06 12:37:35.800155;214,731,641
2022-01-07 12:36:44.325059;214,735,534
2022-01-08 12:35:50.207079;214,739,426
2022-01-09 12:35:53.054692;214,743,322
2022-01-10 12:37:38.025985;214,747,221
2022-01-11 12:36:34.993869;214,751,113
2022-01-12 12:37:38.383039;214,755,011
2022-01-13 12:37:38.795380;214,758,906
2022-01-14 12:36:54.057179;214,762,799
2022-01-15 12:36:13.161319;214,766,692
2022-01-16 12:36:02.248023;214,770,587
2022-01-17 12:38:10.432666;214,774,488
2022-01-18 12:41:08.846480;214,778,391
2022-01-19 12:33:19.216102;214,782,265
2022-01-20 12:34:10.331526;214,786,162
2022-01-21 12:33:45.480103;214,790,056
2022-01-22 12:31:59.311401;214,793,946
2022-01-23 12:32:55.028357;214,797,843
2022-01-24 12:34:23.142202;214,801,742
2022-01-25 12:34:33.333824;214,805,638
2022-01-26 12:32:52.568595;214,809,528
2022-01-27 12:33:53.770797;214,813,426
2022-01-28 12:41:52.568952;214,817,343
2022-01-29 12:31:46.238752;214,821,210
2022-01-30 12:31:42.863755;214,825,105
2022-01-31 12:33:08.816427;214,829,004
2022-02-01 12:33:56.272109;214,832,901
2022-02-02 12:33:29.673130;214,801,705
2022-02-03 12:34:03.765788;214,805,423
2022-02-04 12:27:39.395613;214,809,124
2022-02-05 12:25:56.736764;214,812,836
2022-02-06 12:31:28.403963;214,816,568
2022-02-07 12:33:45.429985;214,820,291
2022-02-08 12:32:49.295078;214,824,005
2022-02-09 12:33:46.682574;214,827,725
2022-02-10 12:34:00.918688;214,831,442
2022-02-11 12:32:28.543481;214,835,155
2022-02-12 12:31:53.274774;214,838,871
2022-02-13 12:31:47.672020;214,842,588
2022-02-14 12:34:37.650690;214,846,312
2022-02-15 12:33:44.331379;214,850,027
2022-02-16 12:33:13.467776;214,853,742
2022-02-17 12:33:51.789982;214,857,461
2022-02-18 12:34:11.735625;214,861,179
2022-02-19 12:32:38.160992;214,864,892
2022-02-20 12:32:40.573425;214,868,609
2022-02-21 12:35:12.569328;214,872,332
2022-02-22 12:36:39.083938;214,876,053
2022-02-23 12:35:43.886610;214,879,768
2022-02-24 12:35:40.825396;214,883,485
2022-02-25 12:34:27.867190;214,887,198
2022-02-26 12:32:57.483833;214,890,912
2022-02-27 12:33:21.966119;214,894,630
2022-02-28 12:35:29.948103;214,898,352
2022-03-01 12:36:24.070852;214,902,071
2022-03-02 12:36:08.373858;214,905,788
2022-03-03 12:36:11.081307;214,909,505
2022-03-04 12:35:52.441454;214,913,221
2022-03-05 12:33:28.162990;214,916,932
2022-03-06 12:33:49.803600;214,920,650
2022-03-07 12:36:07.258415;214,924,373
2022-03-08 12:37:00.156443;214,928,092
2022-03-09 12:36:16.797628;214,931,807
2022-03-10 12:36:41.491595;214,935,525
2022-03-11 12:36:05.114171;214,939,241
2022-03-12 12:34:06.357412;214,942,952
2022-03-13 12:34:29.760746;214,946,671
2022-03-14 12:36:12.296179;214,950,392
2022-03-15 12:37:37.609980;214,954,113
2022-03-16 12:36:20.402609;214,957,826
2022-03-17 12:38:37.276038;214,961,549
2022-03-18 12:36:04.827220;214,965,260
2022-03-19 12:35:08.087131;214,968,974
2022-03-20 12:34:21.337187;214,972,689
2022-03-21 12:36:48.251337;214,976,412
2022-03-22 12:38:20.014295;214,980,133
2022-03-23 12:38:22.061381;214,983,850
2022-03-24 12:38:01.527948;214,987,567
2022-03-25 13:09:40.575448;214,991,365
2022-03-26 12:34:41.040529;214,994,992
2022-03-27 12:35:17.300898;214,998,711
2022-03-28 12:39:46.156392;215,002,439
2022-03-29 12:41:19.849716;215,006,160
2022-03-30 12:40:21.668319;215,009,875
2022-03-31 12:40:39.703051;215,013,592
2022-04-01 12:44:39.168613;215,017,320
2022-04-02 12:35:15.107922;215,021,012
2022-04-03 12:36:01.175844;215,024,731
2022-04-04 12:40:01.127374;215,028,459
2022-04-05 12:38:03.348344;215,032,171
2022-04-06 12:42:31.097013;215,035,899
2022-04-07 13:24:33.145542;215,039,725
2022-04-08 12:42:35.756923;215,043,333
2022-04-09 12:35:43.823512;215,047,033
2022-04-10 12:36:07.031983;215,050,751
2022-04-11 12:39:50.364392;215,054,477
2022-04-12 12:39:40.067940;215,058,194
2022-04-13 12:39:05.603026;215,061,909
2022-04-14 12:44:24.266973;215,065,640
2022-04-15 12:38:19.518943;215,069,341
2022-04-16 12:37:13.769805;215,073,056
2022-04-17 12:36:48.902084;215,076,771
2022-04-19 12:46:51.883895;215,084,231
2022-04-20 12:45:12.879458;215,087,944
2022-04-21 12:41:48.018851;215,091,652
2022-04-22 12:44:12.651949;215,095,376
2022-04-23 12:37:21.836589;215,099,075
2022-04-24 12:37:33.476295;215,102,792
2022-04-25 12:41:32.556801;215,106,520
2022-04-26 12:47:16.929327;215,110,252
2022-04-27 12:43:34.905870;215,113,959
2022-04-28 12:47:10.001068;215,117,685
2022-04-29 12:47:07.397888;215,121,402
2022-04-30 12:38:06.060535;215,125,096
2022-05-01 12:38:58.345427;215,128,815
2022-05-02 12:46:21.439258;215,132,551
2022-05-03 12:49:17.478726;215,136,276
2022-05-04 12:49:42.726847;215,139,994
2022-05-05 12:48:35.124553;215,143,708
2022-05-06 12:44:08.061934;215,147,413
2022-05-07 12:38:35.624915;215,151,116
2022-05-08 12:38:35.248074;215,154,833
