Date;Price
11/09/1997;2.779.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
12/09/1997;2.859.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
15/09/1997;287.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
16/09/1997;28.300.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
17/09/1997;2.75
18/09/1997;2.839.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
19/09/1997;2.939.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
22/09/1997;2.979.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
23/09/1997;3.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
24/09/1997;3.029.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
25/09/1997;304.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
26/09/1997;32.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
29/09/1997;3.089.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
30/09/1997;295.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
01/10/1997;30.800.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
02/10/1997;2.970.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
03/10/1997;2.910.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
06/10/1997;295.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
07/10/1997;2.810.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
08/10/1997;279.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
09/10/1997;279.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
10/10/1997;2.779.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
13/10/1997;287.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
14/10/1997;2.839.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
15/10/1997;2.839.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
16/10/1997;2.939.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000.000
17/10/1997;2.970.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
20/10/1997;304.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
21/10/1997;312.999.999.999.999.000.000.000.000.000.000.000.000.000.000.000.000
22/10/1997;32.400.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
23/10/1997;3.339.999.999.999.990.000.000.000.000.000.000.000.000.000.000.000
24/10/1997;329.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000.000
